member_id,acquisition_channel,health_goal,rebill_day30,rebill_day60,rebill_day90,cancelled,ltv_day90
M00069,organic_search,unknown,1,1,1,0,203.64
M00070,paid_social,unknown,0,0,0,1,51.45
M00071,quiz,gut,1,1,0,0,155.27
M00072,quiz,energy,0,0,0,1,52.34
M00073,paid_social,unknown,0,0,0,1,46.19
M00074,paid_social,unknown,1,0,0,0,100.27
M00075,paid_social,unknown,1,1,0,0,146.92
M00076,paid_social,unknown,1,1,0,0,145.02
M00077,quiz,gut,1,1,1,0,198.62
M00078,direct_shop,unknown,0,0,0,1,52.93
M00079,quiz,sleep,1,1,0,0,150.79
M00080,organic_search,unknown,0,0,0,1,45.82
M00081,direct_shop,unknown,1,0,0,0,98.53
M00082,quiz,energy,1,1,0,0,149.54
M00083,quiz,gut,1,1,1,0,194.89
M00084,quiz,gut,1,1,0,0,152.11
M00085,quiz,gut,1,1,1,0,199.27
M00086,paid_social,unknown,1,0,0,1,95.81
M00087,direct_shop,unknown,1,1,1,0,195.62
M00088,organic_search,unknown,1,0,0,0,103.28
M00089,direct_shop,unknown,1,0,0,0,98.84
M00090,quiz,gut,0,0,0,1,53.56
M00091,paid_social,unknown,1,1,1,0,204.68
M00092,paid_social,unknown,0,0,0,1,53.06
M00093,direct_shop,unknown,0,0,0,1,48.39
M00094,paid_social,unknown,1,1,0,0,142.48
M00095,direct_shop,unknown,0,0,0,1,50.93
M00096,direct_shop,unknown,0,0,0,1,56.26
M00097,direct_shop,unknown,0,0,0,1,49.88
M00098,quiz,gut,1,1,0,0,144.0
M00099,quiz,sleep,1,1,0,0,147.95
M00100,quiz,energy,1,0,0,0,99.43
M00101,direct_shop,unknown,0,0,0,1,46.7
M00102,quiz,energy,1,1,0,0,142.28
M00103,direct_shop,unknown,1,0,0,0,99.69
M00104,organic_search,unknown,1,1,1,0,197.61
M00105,quiz,gut,1,0,0,0,105.3
M00106,direct_shop,unknown,0,0,0,1,50.29
M00107,paid_social,unknown,0,0,0,1,51.4
M00108,quiz,sleep,1,0,0,0,99.62
M00109,quiz,energy,0,0,0,1,50.27
M00110,quiz,gut,0,0,0,1,45.03
M00111,quiz,energy,1,0,0,1,96.86
M00112,organic_search,unknown,1,1,0,0,153.24
M00113,paid_social,unknown,0,0,0,1,50.62
M00114,direct_shop,unknown,0,0,0,1,48.79
M00115,organic_search,unknown,0,0,0,1,51.45
M00116,paid_social,unknown,1,0,0,0,101.5
M00117,quiz,energy,1,1,0,0,155.94
M00118,organic_search,unknown,0,0,0,1,50.48
M00119,direct_shop,unknown,1,1,0,0,146.78
M00120,paid_social,unknown,1,0,0,0,99.63
M00121,organic_search,unknown,1,1,0,0,151.79
M00122,quiz,gut,0,0,0,1,52.98
M00123,quiz,gut,1,0,0,1,95.13
M00124,quiz,gut,1,0,0,0,100.74
M00125,direct_shop,unknown,1,0,0,0,97.29
M00126,paid_social,unknown,1,1,0,0,148.27
M00127,organic_search,unknown,1,1,1,0,202.5
M00128,quiz,gut,0,0,0,1,52.23
M00129,direct_shop,unknown,0,0,0,1,47.96
M00130,direct_shop,unknown,0,0,0,1,49.52
M00131,quiz,sleep,1,0,0,0,98.37
M00132,quiz,sleep,0,0,0,1,58.67
M00133,quiz,energy,0,0,0,1,50.83
M00134,organic_search,unknown,1,0,0,1,97.46
M00135,quiz,gut,1,1,1,0,203.93
M00136,direct_shop,unknown,1,0,0,1,104.05
M00137,paid_social,unknown,0,0,0,1,55.37
M00138,direct_shop,unknown,1,1,0,0,156.23
M00139,organic_search,unknown,1,1,0,0,152.09
M00140,organic_search,unknown,1,1,1,0,198.91
M00141,quiz,gut,0,0,0,1,49.38
M00142,direct_shop,unknown,1,0,0,0,99.1
M00143,quiz,energy,1,1,0,0,148.76
M00144,quiz,energy,1,1,1,0,203.68
M00145,quiz,gut,1,0,0,1,99.98
M00146,direct_shop,unknown,1,1,0,0,152.88
M00147,direct_shop,unknown,1,1,0,0,152.0
M00148,quiz,energy,0,0,0,1,46.69
M00149,quiz,sleep,1,1,1,0,194.81
M00150,organic_search,unknown,1,1,1,0,196.25
M00151,quiz,gut,1,1,0,0,148.69
M00152,quiz,gut,0,0,0,1,50.39
M00153,direct_shop,unknown,1,1,1,0,198.02
M00154,organic_search,unknown,0,0,0,1,52.1
M00155,quiz,energy,1,1,0,0,148.39
M00156,paid_social,unknown,1,0,0,1,100.75
M00157,paid_social,unknown,1,0,0,1,100.33
M00158,quiz,gut,0,0,0,1,55.19
M00159,paid_social,unknown,0,0,0,1,47.06
M00160,direct_shop,unknown,1,1,1,0,206.59
M00161,direct_shop,unknown,1,0,0,0,98.2
M00162,direct_shop,unknown,1,1,0,0,145.95
M00163,direct_shop,unknown,0,0,0,1,49.34
M00164,quiz,gut,0,0,0,1,59.71
M00165,paid_social,unknown,1,1,0,0,152.66
M00166,quiz,gut,0,0,0,1,51.8
M00167,quiz,gut,1,1,0,0,152.36
M00168,quiz,energy,1,1,0,0,147.66
M00169,direct_shop,unknown,1,0,0,1,100.96
M00170,paid_social,unknown,0,0,0,1,50.0
M00171,quiz,energy,0,0,0,1,55.42
M00172,direct_shop,unknown,1,1,1,0,199.63
M00173,quiz,gut,1,0,0,0,98.85
M00174,direct_shop,unknown,1,1,1,0,196.47
M00175,quiz,sleep,0,0,0,1,50.41
M00176,paid_social,unknown,1,1,0,0,150.85
M00177,direct_shop,unknown,1,1,0,0,146.37
M00178,organic_search,unknown,1,1,0,0,151.33
M00179,quiz,sleep,0,0,0,1,50.69
M00180,quiz,sleep,1,1,1,0,203.0
M00181,quiz,gut,1,1,1,0,203.6
M00182,organic_search,unknown,1,0,0,0,100.26
M00183,organic_search,unknown,0,0,0,1,46.88
M00184,quiz,gut,1,0,0,0,97.49
M00185,paid_social,unknown,0,0,0,1,55.28
M00186,paid_social,unknown,0,0,0,1,50.49
M00187,direct_shop,unknown,0,0,0,1,55.23
M00188,direct_shop,unknown,1,1,0,0,151.47
M00189,quiz,sleep,0,0,0,1,52.25
M00190,quiz,energy,0,0,0,1,52.81
M00191,organic_search,unknown,1,1,1,0,196.29
M00192,organic_search,unknown,0,0,0,1,50.91
M00193,direct_shop,unknown,1,1,1,0,196.25
M00194,quiz,gut,1,0,0,0,99.13
M00195,quiz,gut,0,0,0,1,51.91
M00196,paid_social,unknown,1,0,0,1,96.9
M00197,organic_search,unknown,0,0,0,1,51.67
M00198,organic_search,unknown,1,1,0,0,145.47
M00199,paid_social,unknown,0,0,0,1,53.42
M00200,direct_shop,unknown,1,0,0,1,97.99
M00201,quiz,gut,1,1,1,0,196.88
M00202,quiz,sleep,1,1,1,0,195.65
M00203,organic_search,unknown,0,0,0,1,48.25
M00204,direct_shop,unknown,1,0,0,0,94.26
M00205,quiz,energy,1,1,1,0,198.31
M00206,quiz,gut,1,1,1,0,203.26
M00207,paid_social,unknown,0,0,0,1,49.42
M00208,quiz,gut,0,0,0,1,46.46
M00209,quiz,energy,0,0,0,1,50.67
M00210,direct_shop,unknown,0,0,0,1,50.4
M00211,paid_social,unknown,1,1,1,0,205.83
M00212,paid_social,unknown,1,1,1,0,202.33
M00213,quiz,sleep,1,1,0,0,150.89
M00214,paid_social,unknown,0,0,0,1,52.71
M00215,quiz,gut,1,0,0,0,99.58
M00216,quiz,energy,1,1,1,0,199.73
M00217,paid_social,unknown,0,0,0,1,54.97
M00218,direct_shop,unknown,0,0,0,1,45.08
M00219,paid_social,unknown,1,1,0,0,152.87
M00220,paid_social,unknown,1,1,0,0,149.64
M00221,direct_shop,unknown,0,0,0,1,49.12
M00222,quiz,sleep,0,0,0,1,48.33
M00223,direct_shop,unknown,0,0,0,1,50.45
M00224,quiz,gut,0,0,0,1,49.86
M00225,quiz,energy,1,1,1,0,198.72
M00226,organic_search,unknown,0,0,0,1,47.88
M00227,direct_shop,unknown,1,0,0,1,94.26
M00228,organic_search,unknown,1,1,1,0,197.79
M00229,direct_shop,unknown,0,0,0,1,48.45
M00230,paid_social,unknown,0,0,0,1,50.44
M00231,direct_shop,unknown,1,1,1,0,205.85
M00232,direct_shop,unknown,1,1,0,0,148.12
M00233,direct_shop,unknown,1,1,1,0,196.89
M00234,quiz,gut,1,1,0,0,147.83
M00235,paid_social,unknown,1,1,1,0,200.42
M00236,quiz,energy,1,1,0,0,151.74
M00237,quiz,energy,1,1,1,0,202.15
M00238,direct_shop,unknown,1,1,0,0,152.45
M00239,quiz,energy,0,0,0,1,52.9
M00240,organic_search,unknown,1,1,1,0,199.12
M00241,organic_search,unknown,0,0,0,1,56.15
M00242,organic_search,unknown,1,1,1,0,198.9
M00243,direct_shop,unknown,1,1,1,0,200.29
M00244,quiz,energy,1,0,0,1,103.87
M00245,organic_search,unknown,1,0,0,1,101.68
M00246,direct_shop,unknown,1,1,1,0,193.24
M00247,organic_search,unknown,0,0,0,1,50.01
M00248,organic_search,unknown,1,1,0,0,152.56
M00249,organic_search,unknown,1,0,0,1,95.95
M00250,quiz,gut,1,0,0,0,102.23
M00251,direct_shop,unknown,0,0,0,1,51.16
M00252,organic_search,unknown,0,0,0,1,53.54
M00253,quiz,sleep,0,0,0,1,47.91
M00254,quiz,energy,1,1,0,0,152.96
M00255,direct_shop,unknown,1,1,0,0,150.45
M00256,organic_search,unknown,0,0,0,1,55.29
M00257,paid_social,unknown,1,1,1,0,208.32
M00258,direct_shop,unknown,0,0,0,1,54.6
M00259,quiz,gut,0,0,0,1,51.43
M00260,direct_shop,unknown,1,1,0,0,156.93
M00261,organic_search,unknown,1,1,0,0,151.78
M00262,quiz,energy,1,0,0,1,97.26
M00263,direct_shop,unknown,1,0,0,0,99.86
M00264,organic_search,unknown,0,0,0,1,52.28
M00265,paid_social,unknown,1,1,1,0,202.44
M00266,paid_social,unknown,1,1,1,0,196.58
M00267,paid_social,unknown,1,1,0,0,146.69
M00268,direct_shop,unknown,0,0,0,1,48.97
M00269,quiz,energy,0,0,0,1,51.59
M00270,paid_social,unknown,1,1,0,0,151.96
M00271,paid_social,unknown,1,1,0,0,150.39
M00272,organic_search,unknown,0,0,0,1,47.49
M00273,organic_search,unknown,1,1,0,0,155.18
M00274,direct_shop,unknown,1,0,0,0,96.76
M00275,direct_shop,unknown,0,0,0,1,53.9
M00276,paid_social,unknown,1,1,0,0,152.19
M00277,direct_shop,unknown,1,0,0,1,103.82
M00278,paid_social,unknown,1,0,0,0,98.65
M00279,paid_social,unknown,0,0,0,1,49.56
M00280,organic_search,unknown,0,0,0,1,50.16
M00281,quiz,gut,1,0,0,0,98.55
M00282,direct_shop,unknown,1,0,0,1,100.66
M00283,quiz,sleep,1,0,0,1,104.72
M00284,direct_shop,unknown,1,1,1,0,196.07
M00285,quiz,sleep,1,1,0,0,148.0
M00286,direct_shop,unknown,1,1,1,0,197.66
M00287,direct_shop,unknown,0,0,0,1,49.71
M00288,quiz,gut,1,0,0,0,99.57
M00289,direct_shop,unknown,0,0,0,1,52.31
M00290,quiz,sleep,1,0,0,1,100.08
M00291,quiz,gut,0,0,0,1,50.9
M00292,paid_social,unknown,1,1,1,0,201.16
M00293,direct_shop,unknown,1,0,0,1,100.72
M00294,quiz,gut,1,1,0,0,152.08
M00295,direct_shop,unknown,0,0,0,1,49.62
M00296,paid_social,unknown,0,0,0,1,54.93
M00297,quiz,gut,0,0,0,1,57.61
M00298,direct_shop,unknown,1,1,0,0,152.09
M00299,quiz,sleep,1,1,1,0,200.64
M00300,quiz,energy,1,1,0,0,151.84
M00301,direct_shop,unknown,1,1,1,0,196.66
M00302,direct_shop,unknown,0,0,0,1,50.53
M00303,direct_shop,unknown,1,0,0,0,97.79
M00304,paid_social,unknown,1,0,0,0,101.51
M00305,organic_search,unknown,0,0,0,1,47.81
M00306,direct_shop,unknown,0,0,0,1,48.96
M00307,quiz,gut,1,1,1,0,194.34
M00308,paid_social,unknown,1,0,0,1,96.46
M00309,quiz,gut,0,0,0,1,51.05
M00310,direct_shop,unknown,0,0,0,1,47.38
M00311,quiz,energy,0,0,0,1,53.18
M00312,quiz,gut,0,0,0,1,47.13
M00313,organic_search,unknown,1,1,1,0,201.32
M00314,paid_social,unknown,1,1,1,0,197.67
M00315,paid_social,unknown,0,0,0,1,51.15
M00316,direct_shop,unknown,1,1,0,0,145.37
M00317,quiz,sleep,1,1,0,0,148.61
M00318,quiz,sleep,1,0,0,1,97.44
M00319,quiz,energy,0,0,0,1,52.64
M00320,direct_shop,unknown,1,1,0,0,151.36
M00321,paid_social,unknown,0,0,0,1,46.29
M00322,paid_social,unknown,1,1,0,0,149.36
M00323,quiz,sleep,0,0,0,1,47.67
M00324,organic_search,unknown,1,0,0,1,102.83
M00325,paid_social,unknown,1,1,0,0,153.78
M00326,direct_shop,unknown,0,0,0,1,45.67
M00327,direct_shop,unknown,1,1,1,0,202.44
M00328,direct_shop,unknown,0,0,0,1,47.52
M00329,quiz,gut,0,0,0,1,49.23
M00330,direct_shop,unknown,1,0,0,0,100.08
M00331,paid_social,unknown,1,1,1,0,205.41
M00332,quiz,sleep,0,0,0,1,46.98
M00333,quiz,energy,0,0,0,1,52.49
M00334,quiz,energy,1,0,0,1,96.47
M00335,quiz,gut,1,0,0,0,96.26
M00336,organic_search,unknown,1,1,1,0,200.05
M00337,paid_social,unknown,1,1,1,0,200.03
M00338,direct_shop,unknown,0,0,0,1,41.49
M00339,quiz,sleep,1,0,0,0,103.46
M00340,direct_shop,unknown,1,1,0,0,143.55
M00341,direct_shop,unknown,1,0,0,0,99.54
M00342,quiz,gut,0,0,0,1,53.97
M00343,direct_shop,unknown,0,0,0,1,56.62
M00344,direct_shop,unknown,1,1,1,0,198.87
M00345,direct_shop,unknown,1,1,1,0,195.66
M00346,direct_shop,unknown,0,0,0,1,53.86
M00347,quiz,gut,1,1,1,0,202.56
M00348,direct_shop,unknown,1,1,1,0,198.49
M00349,direct_shop,unknown,1,0,0,0,98.13
M00350,direct_shop,unknown,0,0,0,1,47.84
M00351,organic_search,unknown,0,0,0,1,48.96
M00352,paid_social,unknown,1,0,0,0,100.93
M00353,quiz,gut,1,0,0,1,98.28
M00354,quiz,energy,0,0,0,1,48.67
M00355,direct_shop,unknown,0,0,0,1,51.91
M00356,quiz,energy,1,0,0,0,95.53
M00357,direct_shop,unknown,0,0,0,1,48.86
M00358,organic_search,unknown,1,0,0,1,94.95
M00359,direct_shop,unknown,1,1,0,0,150.3
M00360,direct_shop,unknown,0,0,0,1,44.17
M00361,direct_shop,unknown,0,0,0,1,52.66
M00362,direct_shop,unknown,0,0,0,1,46.05
M00363,direct_shop,unknown,1,1,1,0,194.64
M00364,organic_search,unknown,1,1,1,0,198.87
M00365,direct_shop,unknown,1,1,1,0,205.09
M00366,organic_search,unknown,1,0,0,0,102.11
M00367,organic_search,unknown,0,0,0,1,44.22
M00368,quiz,energy,1,1,0,0,145.94
M00369,quiz,sleep,1,1,1,0,198.77
M00370,quiz,gut,1,1,1,0,206.68
M00371,quiz,energy,0,0,0,1,47.17
M00372,quiz,gut,1,1,0,0,147.18
M00373,paid_social,unknown,1,1,0,0,154.55
M00374,quiz,sleep,1,1,1,0,200.54
M00375,quiz,sleep,1,1,0,0,153.13
M00376,paid_social,unknown,1,1,1,0,197.78
M00377,quiz,energy,1,0,0,1,99.68
M00378,paid_social,unknown,1,1,1,0,203.91
M00379,quiz,energy,1,0,0,1,99.55
M00380,quiz,gut,1,1,0,0,153.34
M00381,paid_social,unknown,1,0,0,0,101.14
M00382,direct_shop,unknown,0,0,0,1,46.87
M00383,organic_search,unknown,1,1,0,0,149.92
M00384,paid_social,unknown,0,0,0,1,52.93
M00385,paid_social,unknown,0,0,0,1,52.0
M00386,quiz,gut,1,1,1,0,199.84
M00387,quiz,sleep,0,0,0,1,44.31
M00388,paid_social,unknown,1,1,0,0,144.58
M00389,paid_social,unknown,1,0,0,0,95.23
M00390,organic_search,unknown,1,1,0,0,148.44
M00391,direct_shop,unknown,1,1,0,0,148.84
M00392,direct_shop,unknown,1,1,0,0,145.54
M00393,paid_social,unknown,1,0,0,1,103.05
M00394,quiz,gut,1,1,0,0,146.18
M00395,organic_search,unknown,1,1,1,0,195.85
M00396,organic_search,unknown,1,1,1,0,200.22
M00397,direct_shop,unknown,0,0,0,1,52.91
M00398,paid_social,unknown,1,0,0,0,106.14
M00399,paid_social,unknown,1,1,1,0,201.71
M00400,quiz,gut,0,0,0,1,54.73
M00401,organic_search,unknown,1,1,0,0,146.33
M00402,direct_shop,unknown,0,0,0,1,56.47
M00403,paid_social,unknown,0,0,0,1,44.41
M00404,quiz,gut,1,0,0,1,98.47
M00405,organic_search,unknown,1,0,0,1,101.66
M00406,direct_shop,unknown,1,1,0,0,145.15
M00407,quiz,sleep,0,0,0,1,47.21
M00408,organic_search,unknown,1,0,0,1,96.72
M00409,quiz,gut,1,1,1,0,199.03
M00410,quiz,gut,1,0,0,1,104.24
M00411,organic_search,unknown,1,1,1,0,200.01
M00412,organic_search,unknown,0,0,0,1,48.6
M00413,direct_shop,unknown,1,1,0,0,141.32
M00414,direct_shop,unknown,1,1,1,0,201.36
M00415,direct_shop,unknown,1,0,0,0,102.35
M00416,quiz,energy,1,0,0,1,94.88
M00417,quiz,sleep,1,1,1,0,199.76
M00418,paid_social,unknown,1,0,0,0,100.56
M00419,paid_social,unknown,1,1,1,0,202.85
M00420,paid_social,unknown,1,1,1,0,197.79
M00421,paid_social,unknown,0,0,0,1,47.36
M00422,quiz,gut,1,1,1,0,198.59
M00423,direct_shop,unknown,1,1,0,0,153.82
M00424,quiz,gut,1,1,1,0,203.09
M00425,direct_shop,unknown,1,1,0,0,149.91
M00426,direct_shop,unknown,1,0,0,1,103.04
M00427,organic_search,unknown,0,0,0,1,42.88
M00428,direct_shop,unknown,1,0,0,0,102.35
M00429,quiz,gut,0,0,0,1,46.63
M00430,quiz,gut,1,1,1,0,205.26
M00431,paid_social,unknown,0,0,0,1,46.8
M00432,direct_shop,unknown,1,0,0,1,97.42
M00433,quiz,gut,1,1,0,0,151.66
M00434,quiz,energy,1,0,0,1,101.96
M00435,paid_social,unknown,1,0,0,1,98.64
M00436,quiz,energy,0,0,0,1,51.1
M00437,paid_social,unknown,0,0,0,1,51.48
M00438,paid_social,unknown,0,0,0,1,51.17
M00439,quiz,energy,0,0,0,1,48.78
M00440,quiz,gut,1,1,0,0,151.49
M00441,organic_search,unknown,1,0,0,0,104.2
M00442,direct_shop,unknown,1,0,0,1,96.3
M00443,direct_shop,unknown,1,1,1,0,197.44
M00444,paid_social,unknown,1,1,0,0,150.05
M00445,organic_search,unknown,0,0,0,1,46.82
M00446,organic_search,unknown,1,1,0,0,144.56
M00447,paid_social,unknown,1,1,1,0,203.24
M00448,direct_shop,unknown,1,1,0,0,143.28
M00449,quiz,sleep,1,1,1,0,198.75
M00450,paid_social,unknown,1,0,0,0,102.26
M00451,direct_shop,unknown,0,0,0,1,50.79
M00452,direct_shop,unknown,1,0,0,0,98.82
M00453,organic_search,unknown,0,0,0,1,46.7
M00454,quiz,gut,1,1,1,0,200.99
M00455,direct_shop,unknown,0,0,0,1,47.02
M00456,quiz,sleep,1,1,0,0,150.77
M00457,direct_shop,unknown,0,0,0,1,50.41
M00458,quiz,energy,0,0,0,1,50.44
M00459,quiz,gut,1,0,0,1,98.06
M00460,quiz,energy,1,1,1,0,206.07
M00461,direct_shop,unknown,1,0,0,1,101.05
M00462,paid_social,unknown,0,0,0,1,49.15
M00463,direct_shop,unknown,1,1,1,0,200.75
M00464,organic_search,unknown,1,1,1,0,197.64
M00465,direct_shop,unknown,1,1,1,0,198.8
M00466,quiz,gut,0,0,0,1,57.17
M00467,organic_search,unknown,1,0,0,0,97.68
M00468,quiz,energy,0,0,0,1,49.76
M00469,organic_search,unknown,0,0,0,1,48.62
M00470,quiz,gut,1,0,0,0,96.86
M00471,organic_search,unknown,1,1,1,0,201.22
M00472,quiz,gut,0,0,0,1,50.1
M00473,organic_search,unknown,0,0,0,1,52.72
M00474,direct_shop,unknown,1,1,1,0,202.39
M00475,organic_search,unknown,1,0,0,1,102.68
M00476,quiz,sleep,1,1,0,0,147.22
M00477,direct_shop,unknown,1,0,0,0,101.9
M00478,organic_search,unknown,1,1,0,0,151.97
M00479,direct_shop,unknown,1,0,0,0,96.92
M00480,direct_shop,unknown,0,0,0,1,49.03
M00481,paid_social,unknown,1,0,0,0,95.61
M00482,direct_shop,unknown,1,1,1,0,201.97
M00483,direct_shop,unknown,0,0,0,1,51.99
M00484,direct_shop,unknown,1,1,0,0,154.26
M00485,organic_search,unknown,1,1,1,0,199.27
M00486,quiz,gut,0,0,0,1,51.34
M00487,quiz,sleep,0,0,0,1,52.95
M00488,organic_search,unknown,1,1,1,0,197.7
M00489,organic_search,unknown,0,0,0,1,47.27
M00490,direct_shop,unknown,1,1,1,0,197.79
M00491,direct_shop,unknown,1,1,0,0,148.92
M00492,quiz,gut,1,1,0,0,147.36
M00493,quiz,energy,0,0,0,1,47.95
M00494,direct_shop,unknown,1,1,1,0,202.6
M00495,direct_shop,unknown,0,0,0,1,49.7
M00496,direct_shop,unknown,1,0,0,0,100.9
M00497,quiz,energy,1,1,1,0,198.31
M00498,organic_search,unknown,1,1,0,0,148.12
M00499,organic_search,unknown,0,0,0,1,50.85
M00500,paid_social,unknown,1,0,0,1,100.36
M00501,direct_shop,unknown,1,1,0,0,152.3
M00502,quiz,energy,0,0,0,1,53.89
M00503,paid_social,unknown,0,0,0,1,47.92
M00504,paid_social,unknown,1,1,0,0,152.55
M00505,quiz,gut,1,0,0,0,96.74
M00506,organic_search,unknown,1,1,1,0,206.18
M00507,paid_social,unknown,1,1,1,0,197.6
M00508,organic_search,unknown,0,0,0,1,52.06
M00509,paid_social,unknown,0,0,0,1,46.73
M00510,direct_shop,unknown,1,1,1,0,199.5
M00511,direct_shop,unknown,1,0,0,1,104.62
M00512,organic_search,unknown,1,1,0,0,147.52
M00513,organic_search,unknown,1,1,1,0,206.57
M00514,quiz,gut,0,0,0,1,49.97
M00515,quiz,gut,0,0,0,1,52.92
M00516,direct_shop,unknown,1,0,0,0,101.19
M00517,paid_social,unknown,0,0,0,1,51.36
M00518,organic_search,unknown,1,0,0,0,95.7
M00519,quiz,gut,0,0,0,1,48.57
M00520,direct_shop,unknown,1,0,0,0,103.57
M00521,direct_shop,unknown,0,0,0,1,48.96
M00522,organic_search,unknown,0,0,0,1,50.41
M00523,paid_social,unknown,1,0,0,0,95.34
M00524,paid_social,unknown,0,0,0,1,48.38
M00525,direct_shop,unknown,1,1,0,0,153.34
M00526,direct_shop,unknown,1,0,0,0,96.13
M00527,quiz,energy,1,1,0,0,152.12
M00528,quiz,sleep,1,1,1,0,200.49
M00529,organic_search,unknown,1,0,0,0,99.27
M00530,paid_social,unknown,1,0,0,1,99.14
M00531,organic_search,unknown,0,0,0,1,48.52
M00532,organic_search,unknown,0,0,0,1,48.78
M00533,direct_shop,unknown,0,0,0,1,52.78
M00534,paid_social,unknown,1,0,0,1,98.68
M00535,organic_search,unknown,0,0,0,1,55.41
M00536,paid_social,unknown,1,0,0,0,100.88
M00537,quiz,sleep,0,0,0,1,48.26
M00538,direct_shop,unknown,1,0,0,1,102.9
M00539,quiz,energy,1,1,1,0,201.83
M00540,organic_search,unknown,1,1,1,0,195.0
M00541,direct_shop,unknown,1,1,0,0,146.87
M00542,quiz,energy,0,0,0,1,49.64
M00543,paid_social,unknown,1,1,1,0,195.21
M00544,direct_shop,unknown,1,0,0,0,106.25
M00545,direct_shop,unknown,1,1,1,0,202.43
M00546,quiz,energy,0,0,0,1,49.95
M00547,paid_social,unknown,0,0,0,1,48.96
M00548,direct_shop,unknown,1,1,0,0,148.17
M00549,paid_social,unknown,0,0,0,1,44.1
M00550,direct_shop,unknown,1,1,1,0,194.76
M00551,organic_search,unknown,1,1,1,0,205.66
M00552,direct_shop,unknown,1,1,0,0,154.69
M00553,direct_shop,unknown,1,1,0,0,148.24
M00554,organic_search,unknown,1,0,0,0,102.7
M00555,direct_shop,unknown,1,0,0,1,101.5
M00556,quiz,gut,0,0,0,1,51.86
M00557,quiz,sleep,1,1,1,0,195.68
M00558,paid_social,unknown,1,0,0,0,94.56
M00559,direct_shop,unknown,1,1,0,0,153.52
M00560,paid_social,unknown,0,0,0,1,44.05
M00561,quiz,energy,1,1,1,0,199.52
M00562,quiz,energy,0,0,0,1,48.89
